MERGE @ lap 1.00: Disabled. Cannot plan merge on first lap. Need valid SS that represent whole dataset.
MERGE @ lap 2.00: Disabled. Waiting for lap >= 5 (--m_startLap).
MERGE @ lap 3.00: Disabled. Waiting for lap >= 5 (--m_startLap).
MERGE @ lap 4.00: Disabled. Waiting for lap >= 5 (--m_startLap).
PLANNING merges at lap 4.20. K=15
   0/15 UIDs ineligible because on shortlist for births. 
   105/105 pairs eligible. 0 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: total_size
Chosen uid pairs:
   5,   13 : pair_score 9.949e+02, size 506. 488.
   5,   11 : pair_score 9.843e+02, size 506. 477.
   5,   17 : pair_score 9.772e+02, size 506. 470.
   5,    6 : pair_score 9.713e+02, size 506. 464.
   5,    9 : pair_score 9.675e+02, size 506. 460.
  11,   13 : pair_score 9.658e+02, size 477. 488.
  13,   17 : pair_score 9.587e+02, size 488. 470.
   6,   13 : pair_score 9.528e+02, size 464. 488.
   9,   13 : pair_score 9.490e+02, size 460. 488.
  11,   17 : pair_score 9.481e+02, size 477. 470.
   6,   11 : pair_score 9.422e+02, size 464. 477.
   9,   11 : pair_score 9.384e+02, size 460. 477.
   6,   17 : pair_score 9.351e+02, size 464. 470.
   9,   17 : pair_score 9.313e+02, size 460. 470.
   6,    9 : pair_score 9.254e+02, size 464. 460.
   8,   14 : pair_score 9.000e+02, size 448. 451.
  14,   18 : pair_score 8.754e+02, size 451. 423.
   8,   18 : pair_score 8.719e+02, size 448. 423.
   7,   14 : pair_score 8.271e+02, size 375. 451.
   7,    8 : pair_score 8.236e+02, size 375. 448.
   7,   18 : pair_score 7.991e+02, size 375. 423.
   0,   14 : pair_score 7.799e+02, size 328. 451.
   0,    8 : pair_score 7.764e+02, size 328. 448.
   0,   18 : pair_score 7.519e+02, size 328. 423.
   0,    7 : pair_score 7.036e+02, size 328. 375.
   1,   14 : pair_score 5.502e+02, size 98.4 451.
   1,    8 : pair_score 5.466e+02, size 98.4 448.
   1,   18 : pair_score 5.221e+02, size 98.4 423.
   1,    7 : pair_score 4.738e+02, size 98.4 375.
   0,    1 : pair_score 4.266e+02, size 328. 98.4
   2,    4 : pair_score 6.011e+00, size 6.01 <.01
   2,    3 : pair_score 6.011e+00, size 6.01 <.01
   3,    4 : pair_score 7.105e-13, size <.01 <.01
EVALUATING merges at lap 5.00
   5,   13 : rejected. changed_loss  7.788e-02   merged_size 991.  
   5,   11 : rejected. changed_loss  6.108e-02   merged_size 983.  
   5,   17 : rejected. changed_loss  6.094e-02   merged_size 966.  
   5,    6 : rejected. changed_loss  4.906e-02   merged_size 968.  
   5,    9 : rejected. changed_loss  5.875e-02   merged_size 947.  
  11,   13 : rejected. changed_loss  3.306e-02   merged_size 979.  
  13,   17 : rejected. changed_loss  4.538e-02   merged_size 962.  
   6,   13 : rejected. changed_loss  4.815e-02   merged_size 964.  
   9,   13 : rejected. changed_loss  4.665e-02   merged_size 944.  
  11,   17 : rejected. changed_loss  3.623e-02   merged_size 954.  
   6,   11 : rejected. changed_loss  2.367e-02   merged_size 956.  
   9,   11 : rejected. changed_loss  3.854e-02   merged_size 936.  
   6,   17 : rejected. changed_loss  2.844e-02   merged_size 939.  
   9,   17 : rejected. changed_loss  3.079e-02   merged_size 919.  
   6,    9 : rejected. changed_loss  3.504e-02   merged_size 921.  
   8,   14 : rejected. changed_loss  4.289e-02   merged_size 922.  
  14,   18 : rejected. changed_loss  2.393e-02   merged_size 867.  
   8,   18 : rejected. changed_loss  3.809e-02   merged_size 890.  
   7,   14 : rejected. changed_loss  3.978e-02   merged_size 824.  
   7,    8 : rejected. changed_loss  3.260e-02   merged_size 847.  
   7,   18 : rejected. changed_loss  3.560e-02   merged_size 791.  
   0,   14 : rejected. changed_loss  2.919e-02   merged_size 755.  
   0,    8 : rejected. changed_loss  2.135e-02   merged_size 778.  
   0,   18 : rejected. changed_loss  2.311e-02   merged_size 723.  
   0,    7 : rejected. changed_loss  5.975e-02   merged_size 680.  
   1,   14 : rejected. changed_loss  2.125e-02   merged_size 558.  
   1,    8 : rejected. changed_loss  1.094e-02   merged_size 581.  
   1,   18 : rejected. changed_loss  1.784e-02   merged_size 525.  
   1,    7 : rejected. changed_loss  2.433e-02   merged_size 482.  
   0,    1 : rejected. changed_loss  1.105e-03   merged_size 414.  
   2,    4 : ACCEPTED. changed_loss -4.801e-13   merged_size 4.20  
   2,    3 : skipped.
   3,    4 : skipped.
MERGE @ lap 5.00 : 1/31 accepted. Ndiff 0.00. 2 skipped.
PLANNING merges at lap 5.20. K=14
   0/14 UIDs ineligible because on shortlist for births. 
   61/91 pairs eligible. 30 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: total_size
Chosen uid pairs:
   5,    8 : pair_score 9.704e+02, size 497. 473.
   8,   13 : pair_score 9.668e+02, size 473. 493.
   8,   11 : pair_score 9.589e+02, size 473. 485.
   5,   14 : pair_score 9.472e+02, size 497. 449.
   6,    8 : pair_score 9.438e+02, size 470. 473.
  13,   14 : pair_score 9.436e+02, size 493. 449.
   8,   17 : pair_score 9.419e+02, size 473. 468.
  11,   14 : pair_score 9.357e+02, size 485. 449.
   6,   14 : pair_score 9.206e+02, size 470. 449.
  14,   17 : pair_score 9.186e+02, size 449. 468.
   5,   18 : pair_score 9.146e+02, size 497. 417.
  13,   18 : pair_score 9.111e+02, size 493. 417.
  11,   18 : pair_score 9.031e+02, size 485. 417.
   6,   18 : pair_score 8.881e+02, size 470. 417.
  17,   18 : pair_score 8.861e+02, size 468. 417.
   5,    7 : pair_score 8.715e+02, size 497. 374.
   7,   13 : pair_score 8.680e+02, size 374. 493.
   7,   11 : pair_score 8.601e+02, size 374. 485.
   6,    7 : pair_score 8.450e+02, size 470. 374.
   7,   17 : pair_score 8.430e+02, size 374. 468.
   0,    5 : pair_score 8.031e+02, size 305. 497.
   0,   13 : pair_score 7.996e+02, size 305. 493.
   0,   11 : pair_score 7.917e+02, size 305. 485.
   0,    6 : pair_score 7.766e+02, size 305. 470.
   0,   17 : pair_score 7.746e+02, size 305. 468.
   1,    9 : pair_score 5.590e+02, size 108. 450.
   2,    9 : pair_score 4.549e+02, size 4.20 450.
   3,    9 : pair_score 4.507e+02, size <.01 450.
   1,    2 : pair_score 1.126e+02, size 108. 4.20
   1,    3 : pair_score 1.084e+02, size 108. <.01
   2,    3 : pair_score 4.209e+00, size 4.20 <.01
EVALUATING merges at lap 6.00
   5,    8 : rejected. changed_loss  6.829e-02   merged_size 975.  
   8,   13 : rejected. changed_loss  3.636e-02   merged_size 981.  
   8,   11 : rejected. changed_loss  2.801e-02   merged_size 973.  
   5,   14 : rejected. changed_loss  6.484e-02   merged_size 937.  
   6,    8 : rejected. changed_loss  2.559e-02   merged_size 959.  
  13,   14 : rejected. changed_loss  1.691e-02   merged_size 943.  
   8,   17 : rejected. changed_loss  3.755e-02   merged_size 952.  
  11,   14 : rejected. changed_loss  2.541e-02   merged_size 935.  
   6,   14 : rejected. changed_loss  3.949e-02   merged_size 922.  
  14,   17 : rejected. changed_loss  3.722e-02   merged_size 914.  
   5,   18 : rejected. changed_loss  5.603e-02   merged_size 902.  
  13,   18 : rejected. changed_loss  2.647e-02   merged_size 908.  
  11,   18 : rejected. changed_loss  3.701e-02   merged_size 900.  
   6,   18 : rejected. changed_loss  3.748e-02   merged_size 887.  
  17,   18 : rejected. changed_loss  3.631e-02   merged_size 879.  
   5,    7 : rejected. changed_loss  4.005e-02   merged_size 863.  
   7,   13 : rejected. changed_loss  5.020e-02   merged_size 869.  
   7,   11 : rejected. changed_loss  2.895e-02   merged_size 861.  
   6,    7 : rejected. changed_loss  1.747e-02   merged_size 848.  
   7,   17 : rejected. changed_loss  3.146e-02   merged_size 840.  
   0,    5 : rejected. changed_loss  8.116e-02   merged_size 792.  
   0,   13 : rejected. changed_loss  1.683e-02   merged_size 798.  
   0,   11 : rejected. changed_loss  2.293e-02   merged_size 790.  
   0,    6 : rejected. changed_loss  3.872e-02   merged_size 776.  
   0,   17 : rejected. changed_loss  4.719e-02   merged_size 769.  
   1,    9 : rejected. changed_loss  2.838e-02   merged_size 558.  
   2,    9 : rejected. changed_loss  1.264e-02   merged_size 447.  
   3,    9 : rejected. changed_loss  1.119e-04   merged_size 443.  
   1,    2 : rejected. changed_loss  2.001e-03   merged_size 119.  
   1,    3 : ACCEPTED. changed_loss -1.885e-13   merged_size 115.  
   2,    3 : skipped.
MERGE @ lap 6.00 : 1/30 accepted. Ndiff 0.00. 1 skipped.
PLANNING merges at lap 6.20. K=13
   0/13 UIDs ineligible because on shortlist for births. 
   36/78 pairs eligible. 42 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: total_size
Chosen uid pairs:
   9,   13 : pair_score 9.401e+02, size 443. 496.
   5,    9 : pair_score 9.341e+02, size 490. 443.
   9,   11 : pair_score 9.319e+02, size 443. 488.
   8,    9 : pair_score 9.283e+02, size 484. 443.
   6,    9 : pair_score 9.186e+02, size 475. 443.
   8,   18 : pair_score 8.971e+02, size 484. 412.
  14,   18 : pair_score 8.597e+02, size 447. 412.
   0,    8 : pair_score 7.867e+02, size 301. 484.
   0,   14 : pair_score 7.493e+02, size 301. 447.
   0,   18 : pair_score 7.144e+02, size 301. 412.
   0,    7 : pair_score 6.750e+02, size 301. 373.
   1,   13 : pair_score 6.118e+02, size 115. 496.
   1,    5 : pair_score 6.058e+02, size 115. 490.
   1,   11 : pair_score 6.036e+02, size 115. 488.
   1,    8 : pair_score 6.000e+02, size 115. 484.
   1,    6 : pair_score 5.903e+02, size 115. 475.
   2,   13 : pair_score 5.006e+02, size 4.00 496.
   2,    5 : pair_score 4.945e+02, size 4.00 490.
   2,   11 : pair_score 4.923e+02, size 4.00 488.
   2,    8 : pair_score 4.888e+02, size 4.00 484.
   2,    6 : pair_score 4.790e+02, size 4.00 475.
EVALUATING merges at lap 7.00
   9,   13 : rejected. changed_loss  4.714e-02   merged_size 938.  
   5,    9 : rejected. changed_loss  5.880e-02   merged_size 926.  
   9,   11 : rejected. changed_loss  3.965e-02   merged_size 928.  
   8,    9 : rejected. changed_loss  4.623e-02   merged_size 934.  
   6,    9 : rejected. changed_loss  3.603e-02   merged_size 918.  
   8,   18 : rejected. changed_loss  3.889e-02   merged_size 902.  
  14,   18 : rejected. changed_loss  2.386e-02   merged_size 852.  
   0,    8 : rejected. changed_loss  2.244e-02   merged_size 797.  
   0,   14 : rejected. changed_loss  2.733e-02   merged_size 747.  
   0,   18 : rejected. changed_loss  2.176e-02   merged_size 711.  
   0,    7 : rejected. changed_loss  5.812e-02   merged_size 675.  
   1,   13 : rejected. changed_loss  1.570e-02   merged_size 614.  
   1,    5 : rejected. changed_loss  1.837e-02   merged_size 602.  
   1,   11 : rejected. changed_loss  1.161e-02   merged_size 604.  
   1,    8 : rejected. changed_loss  1.238e-02   merged_size 610.  
   1,    6 : rejected. changed_loss  1.461e-02   merged_size 594.  
   2,   13 : rejected. changed_loss  1.356e-03   merged_size 501.  
   2,    5 : rejected. changed_loss  1.744e-02   merged_size 490.  
   2,   11 : rejected. changed_loss  6.983e-03   merged_size 492.  
   2,    8 : rejected. changed_loss  3.849e-03   merged_size 498.  
   2,    6 : rejected. changed_loss  8.044e-03   merged_size 482.  
MERGE @ lap 7.00 : 0/21 accepted. Ndiff 0.00. 0 skipped.
PLANNING merges at lap 7.20. K=13
   0/13 UIDs ineligible because on shortlist for births. 
   27/78 pairs eligible. 51 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: total_size
Chosen uid pairs:
   8,   13 : pair_score 9.917e+02, size 494. 497.
   5,   13 : pair_score 9.838e+02, size 486. 497.
   6,   13 : pair_score 9.757e+02, size 478. 497.
   6,   11 : pair_score 9.662e+02, size 478. 488.
   5,    6 : pair_score 9.641e+02, size 486. 478.
