MERGE @ lap 1.00: Disabled. Cannot plan merge on first lap. Need valid SS that represent whole dataset.
MERGE @ lap 2.00: Disabled. Waiting for lap >= 5 (--m_startLap).
MERGE @ lap 3.00: Disabled. Waiting for lap >= 5 (--m_startLap).
MERGE @ lap 4.00: Disabled. Waiting for lap >= 5 (--m_startLap).
PLANNING merges at lap 4.20. K=15
   0/15 UIDs ineligible because on shortlist for births. 
   105/105 pairs eligible. 0 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: total_size
Chosen uid pairs:
   5,   11 : pair_score 1.025e+03, size 509. 515.
  11,   13 : pair_score 1.002e+03, size 515. 486.
   5,   13 : pair_score 9.956e+02, size 509. 486.
   6,   11 : pair_score 9.820e+02, size 466. 515.
   5,    6 : pair_score 9.758e+02, size 509. 466.
   6,   13 : pair_score 9.530e+02, size 466. 486.
   7,   11 : pair_score 9.462e+02, size 430. 515.
  10,   11 : pair_score 9.451e+02, size 429. 515.
   5,    7 : pair_score 9.401e+02, size 509. 430.
   5,   10 : pair_score 9.390e+02, size 509. 429.
   7,   13 : pair_score 9.173e+02, size 430. 486.
  10,   13 : pair_score 9.162e+02, size 429. 486.
   6,    7 : pair_score 8.975e+02, size 466. 430.
   6,   10 : pair_score 8.964e+02, size 466. 429.
   7,   10 : pair_score 8.607e+02, size 430. 429.
   9,   17 : pair_score 8.454e+02, size 429. 415.
   9,   14 : pair_score 8.366e+02, size 429. 407.
   9,   18 : pair_score 8.328e+02, size 429. 403.
  14,   17 : pair_score 8.231e+02, size 407. 415.
  17,   18 : pair_score 8.193e+02, size 415. 403.
  14,   18 : pair_score 8.105e+02, size 407. 403.
   0,    9 : pair_score 7.471e+02, size 317. 429.
   0,   17 : pair_score 7.337e+02, size 317. 415.
   0,   14 : pair_score 7.248e+02, size 317. 407.
   0,   18 : pair_score 7.210e+02, size 317. 403.
   2,    9 : pair_score 5.213e+02, size 91.9 429.
   2,   17 : pair_score 5.079e+02, size 91.9 415.
   2,   14 : pair_score 4.991e+02, size 91.9 407.
   2,   18 : pair_score 4.953e+02, size 91.9 403.
   0,    2 : pair_score 4.096e+02, size 317. 91.9
   1,    3 : pair_score 9.632e+01, size 88.3 8.00
   1,    4 : pair_score 8.831e+01, size 88.3 <.01
   3,    4 : pair_score 8.007e+00, size 8.00 <.01
EVALUATING merges at lap 5.00
   5,   11 : rejected. changed_loss  5.493e-02   merged_size 1016  
  11,   13 : rejected. changed_loss  5.172e-02   merged_size 980.  
   5,   13 : rejected. changed_loss  3.305e-02   merged_size 991.  
   6,   11 : rejected. changed_loss  7.589e-02   merged_size 967.  
   5,    6 : rejected. changed_loss  6.681e-02   merged_size 978.  
   6,   13 : rejected. changed_loss  5.883e-02   merged_size 942.  
   7,   11 : rejected. changed_loss  5.763e-02   merged_size 932.  
  10,   11 : rejected. changed_loss  4.775e-02   merged_size 939.  
   5,    7 : rejected. changed_loss  4.628e-02   merged_size 944.  
   5,   10 : rejected. changed_loss  4.478e-02   merged_size 950.  
   7,   13 : rejected. changed_loss  4.242e-02   merged_size 907.  
  10,   13 : rejected. changed_loss  2.757e-02   merged_size 914.  
   6,    7 : rejected. changed_loss  5.563e-02   merged_size 894.  
   6,   10 : rejected. changed_loss  4.167e-02   merged_size 901.  
   7,   10 : rejected. changed_loss  3.009e-02   merged_size 866.  
   9,   17 : rejected. changed_loss  5.197e-02   merged_size 852.  
   9,   14 : rejected. changed_loss  3.104e-02   merged_size 849.  
   9,   18 : rejected. changed_loss  3.714e-02   merged_size 832.  
  14,   17 : rejected. changed_loss  4.656e-02   merged_size 831.  
  17,   18 : rejected. changed_loss  2.836e-02   merged_size 815.  
  14,   18 : rejected. changed_loss  3.857e-02   merged_size 812.  
   0,    9 : rejected. changed_loss  4.281e-02   merged_size 743.  
   0,   17 : rejected. changed_loss  3.938e-02   merged_size 726.  
   0,   14 : rejected. changed_loss  3.600e-02   merged_size 723.  
   0,   18 : rejected. changed_loss  2.415e-02   merged_size 707.  
   2,    9 : rejected. changed_loss  2.812e-02   merged_size 532.  
   2,   17 : rejected. changed_loss  2.645e-02   merged_size 515.  
   2,   14 : rejected. changed_loss  2.849e-02   merged_size 512.  
   2,   18 : rejected. changed_loss  2.042e-02   merged_size 496.  
   0,    2 : ACCEPTED. changed_loss -2.310e-03   merged_size 407.  
Skip eval of uids 1,3 at lap 5.00
   1,    3 : ACCEPTED. changed_loss -8.629e-05   merged_size 102.  
   1,    4 : skipped.
   3,    4 : skipped.
MERGE @ lap 5.00 : 2/31 accepted. Ndiff 103.12. 2 skipped.
PLANNING merges at lap 5.20. K=13
   0/13 UIDs ineligible because on shortlist for births. 
   57/78 pairs eligible. 21 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: total_size
Chosen uid pairs:
   5,    9 : pair_score 9.487e+02, size 514. 434.
   9,   11 : pair_score 9.371e+02, size 434. 502.
   5,   17 : pair_score 9.314e+02, size 514. 417.
   5,   14 : pair_score 9.284e+02, size 514. 414.
   0,    5 : pair_score 9.211e+02, size 407. 514.
  11,   17 : pair_score 9.199e+02, size 502. 417.
  11,   14 : pair_score 9.168e+02, size 502. 414.
   9,   13 : pair_score 9.124e+02, size 434. 477.
   5,   18 : pair_score 9.123e+02, size 514. 398.
   0,   11 : pair_score 9.095e+02, size 407. 502.
  11,   18 : pair_score 9.007e+02, size 502. 398.
   6,    9 : pair_score 8.995e+02, size 464. 434.
  13,   17 : pair_score 8.951e+02, size 477. 417.
  13,   14 : pair_score 8.921e+02, size 477. 414.
   0,   13 : pair_score 8.848e+02, size 407. 477.
   6,   17 : pair_score 8.823e+02, size 464. 417.
   6,   14 : pair_score 8.792e+02, size 464. 414.
  13,   18 : pair_score 8.760e+02, size 477. 398.
   0,    6 : pair_score 8.719e+02, size 407. 464.
   9,   10 : pair_score 8.716e+02, size 434. 436.
   6,   18 : pair_score 8.631e+02, size 464. 398.
  10,   17 : pair_score 8.544e+02, size 436. 417.
  10,   14 : pair_score 8.513e+02, size 436. 414.
   0,   10 : pair_score 8.441e+02, size 407. 436.
  10,   18 : pair_score 8.352e+02, size 436. 398.
   1,    7 : pair_score 5.322e+02, size 102. 430.
   4,    7 : pair_score 4.300e+02, size <.01 430.
   1,    4 : pair_score 1.022e+02, size 102. <.01
EVALUATING merges at lap 6.00
   5,    9 : rejected. changed_loss  6.706e-02   merged_size 959.  
   9,   11 : rejected. changed_loss  6.405e-02   merged_size 938.  
   5,   17 : rejected. changed_loss  3.454e-02   merged_size 939.  
   5,   14 : rejected. changed_loss  5.003e-02   merged_size 938.  
   0,    5 : rejected. changed_loss  5.325e-02   merged_size 889.  
  11,   17 : rejected. changed_loss  4.887e-02   merged_size 917.  
  11,   14 : rejected. changed_loss  5.430e-02   merged_size 916.  
   9,   13 : rejected. changed_loss  5.098e-02   merged_size 915.  
   5,   18 : rejected. changed_loss  5.230e-02   merged_size 914.  
   0,   11 : rejected. changed_loss  8.832e-02   merged_size 868.  
  11,   18 : rejected. changed_loss  6.266e-02   merged_size 892.  
   6,    9 : rejected. changed_loss  4.036e-02   merged_size 910.  
  13,   17 : rejected. changed_loss  3.265e-02   merged_size 894.  
  13,   14 : rejected. changed_loss  2.204e-02   merged_size 893.  
   0,   13 : rejected. changed_loss  3.995e-02   merged_size 845.  
   6,   17 : rejected. changed_loss  5.732e-02   merged_size 890.  
   6,   14 : rejected. changed_loss  5.196e-02   merged_size 889.  
  13,   18 : rejected. changed_loss  3.488e-02   merged_size 870.  
   0,    6 : rejected. changed_loss  5.247e-02   merged_size 840.  
   9,   10 : rejected. changed_loss  3.874e-02   merged_size 886.  
   6,   18 : rejected. changed_loss  4.182e-02   merged_size 865.  
  10,   17 : rejected. changed_loss  2.678e-02   merged_size 865.  
  10,   14 : rejected. changed_loss  3.104e-02   merged_size 864.  
   0,   10 : rejected. changed_loss  3.401e-02   merged_size 816.  
  10,   18 : rejected. changed_loss  1.990e-02   merged_size 841.  
   1,    7 : rejected. changed_loss  1.713e-02   merged_size 546.  
   4,    7 : rejected. changed_loss  3.133e-05   merged_size 439.  
   1,    4 : ACCEPTED. changed_loss -8.704e-14   merged_size 106.  
MERGE @ lap 6.00 : 1/28 accepted. Ndiff 0.00. 0 skipped.
PLANNING merges at lap 6.20. K=12
   0/12 UIDs ineligible because on shortlist for births. 
   31/66 pairs eligible. 35 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: total_size
Chosen uid pairs:
   5,   11 : pair_score 1.015e+03, size 518. 496.
   5,   10 : pair_score 9.629e+02, size 518. 444.
   5,    7 : pair_score 9.582e+02, size 518. 439.
  10,   11 : pair_score 9.412e+02, size 444. 496.
   7,   11 : pair_score 9.364e+02, size 439. 496.
  10,   13 : pair_score 9.183e+02, size 444. 473.
   6,   10 : pair_score 9.141e+02, size 469. 444.
   7,   13 : pair_score 9.135e+02, size 439. 473.
   6,    7 : pair_score 9.094e+02, size 469. 439.
   7,   10 : pair_score 8.846e+02, size 439. 444.
   9,   14 : pair_score 8.618e+02, size 441. 420.
  14,   17 : pair_score 8.415e+02, size 420. 421.
   0,    9 : pair_score 8.131e+02, size 371. 441.
   0,   17 : pair_score 7.927e+02, size 371. 421.
   0,   14 : pair_score 7.918e+02, size 371. 420.
   0,   18 : pair_score 7.680e+02, size 371. 396.
   1,    5 : pair_score 6.248e+02, size 106. 518.
   1,   11 : pair_score 6.030e+02, size 106. 496.
   1,   13 : pair_score 5.801e+02, size 106. 473.
   1,    6 : pair_score 5.760e+02, size 106. 469.
   1,    9 : pair_score 5.480e+02, size 106. 441.
EVALUATING merges at lap 7.00
   5,   11 : rejected. changed_loss  5.544e-02   merged_size 1008  
   5,   10 : rejected. changed_loss  4.515e-02   merged_size 970.  
   5,    7 : rejected. changed_loss  4.722e-02   merged_size 964.  
  10,   11 : rejected. changed_loss  4.931e-02   merged_size 937.  
   7,   11 : rejected. changed_loss  5.972e-02   merged_size 932.  
  10,   13 : rejected. changed_loss  2.747e-02   merged_size 919.  
   6,   10 : rejected. changed_loss  4.189e-02   merged_size 918.  
   7,   13 : rejected. changed_loss  4.287e-02   merged_size 914.  
   6,    7 : rejected. changed_loss  5.481e-02   merged_size 913.  
   7,   10 : rejected. changed_loss  3.058e-02   merged_size 893.  
   9,   14 : rejected. changed_loss  3.135e-02   merged_size 869.  
  14,   17 : rejected. changed_loss  4.700e-02   merged_size 845.  
   0,    9 : rejected. changed_loss  4.392e-02   merged_size 804.  
   0,   17 : rejected. changed_loss  4.162e-02   merged_size 781.  
   0,   14 : rejected. changed_loss  3.915e-02   merged_size 782.  
   0,   18 : rejected. changed_loss  2.609e-02   merged_size 754.  
   1,    5 : rejected. changed_loss  3.160e-02   merged_size 633.  
   1,   11 : rejected. changed_loss  1.632e-02   merged_size 600.  
   1,   13 : rejected. changed_loss  2.056e-02   merged_size 582.  
   1,    6 : rejected. changed_loss  3.516e-02   merged_size 581.  
   1,    9 : rejected. changed_loss  2.323e-02   merged_size 558.  
MERGE @ lap 7.00 : 0/21 accepted. Ndiff 0.00. 0 skipped.
PLANNING merges at lap 7.20. K=12
   0/12 UIDs ineligible because on shortlist for births. 
   19/66 pairs eligible. 47 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: total_size
Chosen uid pairs:
   5,   13 : pair_score 9.903e+02, size 520. 469.
  11,   13 : pair_score 9.579e+02, size 487. 469.
   7,    9 : pair_score 8.899e+02, size 444. 445.
   0,    5 : pair_score 8.796e+02, size 359. 520.
   7,   14 : pair_score 8.680e+02, size 444. 423.
   9,   17 : pair_score 8.676e+02, size 445. 422.
   7,   17 : pair_score 8.663e+02, size 444. 422.
   0,   11 : pair_score 8.472e+02, size 359. 487.
   7,   18 : pair_score 8.396e+02, size 444. 395.
   0,   13 : pair_score 8.292e+02, size 359. 469.
